model_name,overall_accuracy,overall_auc,dp_gender,eo_gender,dp_race,eo_race
decision_tree_reweighted,0.5807375581811672,0.6271886890171987,0.04042887931287331,0.07114897655547409,0.37998719035848955,0.41239130434782606
random_forest_reweighted,0.6086645184389545,0.6481695544935235,0.026279416491031993,0.04759437730949767,0.44475898403711567,0.4187796403249283
decision_tree_postprocessed,0.5904045828857859,0.6461989908416832,0.024605579933257737,0.036335056093744766,0.08592935726693685,0.027617106381041034
random_forest_postprocessed,0.5904045828857859,0.6506366850585086,0.04411037829514575,0.06322613935217547,0.07895229721132058,0.016722207642965614
catboost_baseline,0.5902255639097744,0.6323885721025158,0.00715776531305401,0.037419237192956256,0.5035686578743211,0.5234057971014493
catboost_reweighed,0.5871822413175797,0.6286547376085819,0.012186542243642462,0.035549104201116455,0.4380229851877244,0.4708695652173913
